group,2013,2014,2015,2016,2017,2018,2019
White,10,10.1,9.1,8.8,8.5,8.1,7.3
Black,25.3,26,23.9,21.8,21.7,20.7,18.7
Hispanic,24.7,23.6,21.4,19.4,18.3,17.6,15.7
Asian,13.1,12,11.4,10.1,9.7,10.1,7.3
